Date : 2025-08-08 02:20:29
Directory : e:\Workspace\Project-laptop-shop\client
Total : 308 files,  9669 codes, 1096 comments, 1550 blanks, all 12315 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSETTINGS.md                         | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSPANEL.md                           | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ORDERSUMMARY.md                                 | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PARTICLES_README.md                             | HTML           |         27 |          0 |          6 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONGROUP.md                              | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONSSECTION.md                           | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONTABLE.md                              | HTML           |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTFILTERS.md                               | HTML           |         23 |          0 |          5 |         28 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTHEADER.md                                | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTIMAGES.md                                | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTPRICE.md                                 | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTQUANTITY.md                              | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTREVIEWS.md                               | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\RELATEDPRODUCTS.md                              | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONBAR.md                                   | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONHEADER.md                                | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONSIDEBAR.md                               | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SERVICEFEATURES.md                              | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SHAREMODAL.md                                   | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\STATSCARDS.md                                   | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\STATSTABLE.md                                   | HTML           |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\TABLEDASHBOARD.md                               | HTML           |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ZALOBUTTON.md                                   | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\AddPermissionModal.js                   | JavaScript     |         63 |          0 |          3 |         66 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionGroup.js                      | JavaScript     |         36 |          0 |          3 |         39 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionsSection.js                   | JavaScript     |         72 |          0 |          3 |         75 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\StatsCards.js                           | JavaScript     |         93 |          0 |          2 |         95 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionBar.js                              | JavaScript     |         11 |          0 |          3 |         14 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionHeader.js                           | JavaScript     |         20 |          0 |          5 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionSideBar.js                          | JavaScript     |         74 |          0 |          8 |         82 |
| e:\Workspace\Project-laptop-shop\client\src\components\setting\AccountInfo.js                             | JavaScript     |        166 |          8 |         23 |        197 |
| e:\Workspace\Project-laptop-shop\client\src\components\setting\ChangePassword.js                          | JavaScript     |         64 |          0 |          5 |         69 |
| e:\Workspace\Project-laptop-shop\client\src\components\setting\HelpSupport.js                             | JavaScript     |        326 |          4 |         22 |        352 |
| e:\Workspace\Project-laptop-shop\client\src\components\setting\LanguageRegion.js                          | JavaScript     |        299 |         13 |         41 |        353 |
| e:\Workspace\Project-laptop-shop\client\src\components\setting\NotificationSettings.js                    | JavaScript     |        398 |         13 |         36 |        447 |
| e:\Workspace\Project-laptop-shop\client\src\config\axios.js                                               | JavaScript     |         84 |         89 |         23 |        196 |
| e:\Workspace\Project-laptop-shop\client\src\config\ckeditor.js                                            | JavaScript     |        238 |         63 |          8 |        309 |
| e:\Workspace\Project-laptop-shop\client\src\config\constant.js                                            | JavaScript     |        285 |        145 |         23 |        453 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\AXIOS_DETAILED_EXPLANATION.md                       | HTML           |        186 |          0 |         47 |        233 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\CKEDITOR_CONFIG_EXPLANATION.md                      | HTML           |        320 |          0 |         59 |        379 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\CONSTANT_EXPLANATION.md                             | HTML           |        321 |          0 |         88 |        409 |
| e:\Workspace\Project-laptop-shop\client\src\config\toast.js                                               | JavaScript     |         35 |          4 |          3 |         42 |
| e:\Workspace\Project-laptop-shop\client\src\context\AuthContext.js                                        | JavaScript     |         82 |          7 |          9 |         98 |
| e:\Workspace\Project-laptop-shop\client\src\context\CartContext.js                                        | JavaScript     |         49 |          7 |         13 |         69 |
| e:\Workspace\Project-laptop-shop\client\src\fontawesome.js                                                | JavaScript     |          4 |          3 |          3 |         10 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RedirectIfAuthenticated.js                              | JavaScript     |          8 |          0 |          2 |         10 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RequireAdminAuth.js                                     | JavaScript     |         36 |         69 |         15 |        120 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RequireAuth.js                                          | JavaScript     |         20 |         70 |         11 |        101 |
| e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_ADMIN_AUTH_EXPLANATION.md                    | HTML           |        238 |          0 |         71 |        309 |
| e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_AUTH_EXPLANATION.md                          | HTML           |        300 |          0 |         90 |        390 |
| e:\Workspace\Project-laptop-shop\client\src\index.css                                                     | PostCSS        |        716 |         59 |        138 |        913 |
| e:\Workspace\Project-laptop-shop\client\src\index.js                                                      | JavaScript     |         13 |          3 |          2 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\AdminLayout.js                                        | JavaScript     |         28 |         65 |          5 |         98 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\MainLayout.js                                         | JavaScript     |         21 |         22 |          3 |         46 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\md\ADMIN_LAYOUT_EXPLANATION.md                        | HTML           |        301 |          0 |         90 |        391 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\md\MAIN_LAYOUT_EXPLANATION.md                         | HTML           |        191 |          0 |         64 |        255 |
| e:\Workspace\Project-laptop-shop\client\src\logo.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\pages\About.js                                                | JavaScript     |        133 |          1 |         11 |        145 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Cart.js                                                 | JavaScript     |        231 |          5 |         13 |        249 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Checkout.js                                             | JavaScript     |        352 |          7 |         36 |        395 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Detail.js                                               | JavaScript     |        392 |         13 |         41 |        446 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Document.js                                             | JavaScript     |        276 |          0 |          2 |        278 |
| e:\Workspace\Project-laptop-shop\client\src\pages\FavoriteProduct.js                                      | JavaScript     |        233 |         10 |         31 |        274 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Feedback.js                                             | JavaScript     |        392 |          9 |         16 |        417 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Home.js                                                 | JavaScript     |        286 |          3 |         46 |        335 |
| e:\Workspace\Project-laptop-shop\client\src\pages\News.js                                                 | JavaScript     |        184 |         10 |         27 |        221 |
| e:\Workspace\Project-laptop-shop\client\src\pages\NotFound.js                                             | JavaScript     |         85 |          0 |          1 |         86 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Notification.js                                         | JavaScript     |         81 |          0 |          6 |         87 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Order.js                                                | JavaScript     |        415 |          3 |         23 |        441 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Product.js                                              | JavaScript     |        229 |         10 |         32 |        271 |
| e:\Workspace\Project-laptop-shop\client\src\pages\ProductDetail.js                                        | JavaScript     |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Setting.js                                              | JavaScript     |        226 |          8 |         24 |        258 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Support.js                                              | JavaScript     |        514 |         19 |         42 |        575 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\CategoryManager.js                                | JavaScript     |        635 |         32 |         49 |        716 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\Dashboard.js                                      | JavaScript     |      1,019 |          8 |         37 |      1,064 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\NewsManager.js                                    | JavaScript     |        658 |         32 |         32 |        722 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\OrderManager.js                                   | JavaScript     |        461 |         12 |         23 |        496 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\PermissionManager.js                              | JavaScript     |        341 |          5 |         16 |        362 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\ProductManager.js                                 | JavaScript     |        799 |         29 |         59 |        887 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\RolePermission.js                                 | JavaScript     |        214 |          5 |          8 |        227 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\SupportDashboard.js                               | JavaScript     |        259 |         10 |         30 |        299 |
| e:\Workspace\Project-laptop-shop\client\src\pages\admin\UserManager.js                                    | JavaScript     |        490 |          8 |         19 |        517 |
| e:\Workspace\Project-laptop-shop\client\src\pages\auth\SignIn.js                                          | JavaScript     |        202 |          1 |         13 |        216 |
| e:\Workspace\Project-laptop-shop\client\src\pages\auth\SignUp.js                                          | JavaScript     |        245 |          0 |         22 |        267 |
| e:\Workspace\Project-laptop-shop\client\src\reportWebVitals.js                                            | JavaScript     |         12 |          0 |          2 |         14 |
| e:\Workspace\Project-laptop-shop\client\src\setupTests.js                                                 | JavaScript     |          1 |          4 |          1 |          6 |
| e:\Workspace\Project-laptop-shop\client\src\styles\ckeditor.css                                           | PostCSS        |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\trash\AdminSideBar.js                                         | JavaScript     |         66 |          0 |          8 |         74 |
| e:\Workspace\Project-laptop-shop\client\src\trash\AppRoutes.js                                            | JavaScript     |          0 |         25 |          4 |         29 |
| e:\Workspace\Project-laptop-shop\client\src\trash\AppToast.js                                             | JavaScript     |          0 |         21 |          2 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\trash\AuthForm.js                                             | JavaScript     |          0 |        359 |         43 |        402 |
| e:\Workspace\Project-laptop-shop\client\src\trash\AuthTabs.js                                             | JavaScript     |          0 |         22 |          2 |         24 |
| e:\Workspace\Project-laptop-shop\client\src\trash\CardNews.js                                             | JavaScript     |         25 |          0 |          3 |         28 |
| e:\Workspace\Project-laptop-shop\client\src\trash\DashboardCards.js                                       | JavaScript     |          0 |        103 |          4 |        107 |
| e:\Workspace\Project-laptop-shop\client\src\trash\LoadingOverlay.js                                       | JavaScript     |         46 |          3 |          6 |         55 |
| e:\Workspace\Project-laptop-shop\client\src\trash\LoadingSpinner.js                                       | JavaScript     |        102 |          2 |         11 |        115 |
| e:\Workspace\Project-laptop-shop\client\src\trash\MarqueeBar.js                                           | JavaScript     |         30 |          0 |          3 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\trash\ParticlesBackground.js                                  | JavaScript     |        136 |          3 |          8 |        147 |
| e:\Workspace\Project-laptop-shop\client\src\trash\Payment.js                                              | JavaScript     |         25 |          0 |          6 |         31 |
| e:\Workspace\Project-laptop-shop\client\src\trash\README.md                                               | HTML           |         60 |          0 |         10 |         70 |
| e:\Workspace\Project-laptop-shop\client\src\trash\RolesSection.js                                         | JavaScript     |        201 |          7 |         11 |        219 |
| e:\Workspace\Project-laptop-shop\client\src\trash\RoutesSection.js                                        | JavaScript     |         17 |          0 |          6 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\trash\ServiceCard.js                                          | JavaScript     |         10 |          0 |          3 |         13 |
| e:\Workspace\Project-laptop-shop\client\src\trash\SignInUp.js                                             | JavaScript     |          0 |         34 |          7 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\trash\Tabs.js                                                 | JavaScript     |         34 |          0 |          2 |         36 |
| e:\Workspace\Project-laptop-shop\client\src\trash\particlesjs-config.json                                 | JSON           |        110 |          0 |          1 |        111 |
| e:\Workspace\Project-laptop-shop\client\src\utils\activityUtils.js                                        | JavaScript     |         67 |         12 |         12 |         91 |
| e:\Workspace\Project-laptop-shop\client\src\utils\auth.js                                                 | JavaScript     |        388 |         96 |         99 |        583 |
| e:\Workspace\Project-laptop-shop\client\src\utils\cookieUtils.js                                          | JavaScript     |         36 |          9 |          4 |         49 |
| e:\Workspace\Project-laptop-shop\client\src\utils\encodingUtils.js                                        | JavaScript     |         47 |         19 |         16 |         82 |
| e:\Workspace\Project-laptop-shop\client\src\utils\formatUtils.js                                          | JavaScript     |         73 |         94 |         18 |        185 |
| e:\Workspace\Project-laptop-shop\client\src\utils\index.js                                                | JavaScript     |         15 |         12 |          6 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\ACTIVITY_UTILS.md                                    | HTML           |         33 |          0 |         10 |         43 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\AUTH.md                                              | HTML           |         23 |          0 |          6 |         29 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\AXIOS_MIGRATION.md                                   | HTML           |         69 |          0 |         24 |         93 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\CARD_PRODUCT_MIGRATION.md                            | HTML           |        282 |          0 |         47 |        329 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\CONFLICT_EXPORTS_FIX.md                              | HTML           |        223 |          0 |         49 |        272 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\COOKIES_UTILS.MD                                     | HTML           |         20 |          0 |          6 |         26 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\ENCODING_UTILS.md                                    | HTML           |         19 |          0 |          6 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\FORMAT_UTILS.md                                      | HTML           |         45 |          0 |         13 |         58 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\NEWS_CARD_MIGRATION.md                               | HTML           |        319 |          0 |         60 |        379 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\NEWS_UTILS.md                                        | HTML           |         37 |          0 |         10 |         47 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\PERMISSIONS_UTILS.md                                 | HTML           |         22 |          0 |          6 |         28 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\PRODUCT_UTILS.md                                     | HTML           |         22 |          0 |          6 |         28 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\README.md                                            | HTML           |         92 |          0 |         19 |        111 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\SESSION_UTILS.md                                     | HTML           |         35 |          0 |          9 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\TOKEN_UTILS.md                                       | HTML           |         21 |          0 |          6 |         27 |
| e:\Workspace\Project-laptop-shop\client\src\utils\md\USER_UTILS.md                                        | HTML           |         51 |          0 |         11 |         62 |
| e:\Workspace\Project-laptop-shop\client\src\utils\newsUtils.js                                            | JavaScript     |         76 |        141 |         14 |        231 |
| e:\Workspace\Project-laptop-shop\client\src\utils\permissionUtils.js                                      | JavaScript     |         32 |         10 |         10 |         52 |
| e:\Workspace\Project-laptop-shop\client\src\utils\productUtils.js                                         | JavaScript     |        158 |        138 |         36 |        332 |
| e:\Workspace\Project-laptop-shop\client\src\utils\sessionUtils.js                                         | JavaScript     |         67 |         13 |         18 |         98 |
| e:\Workspace\Project-laptop-shop\client\src\utils\tokenUtils.js                                           | JavaScript     |         53 |         10 |         14 |         77 |
| e:\Workspace\Project-laptop-shop\client\src\utils\userUtils.js                                            | JavaScript     |         99 |         18 |         27 |        144 |
| e:\Workspace\Project-laptop-shop\client\tailwind.config.js                                                | JavaScript     |          7 |          0 |          0 |          7 |
| e:\Workspace\Project-laptop-shop\client\trans.js                                                          | JavaScript     |        796 |         29 |         59 |        884 |
| Total                                                                                                     |                |      9,669 |      1,096 |      1,550 |     12,315 |
+-----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
